;RU;BY;G
Святослава;Святаслава;F
Светлана;Святлана;F
Серафима;Серафіма;F
София;Софія;F
Станислава;Станіслава;F
Стелла;Стэла;F
Стефания;Стэфанія;F
Степанида;Сцепаніда;F
Таисия;Таісія;F
Тамара;Тамара;F
Татьяна;Таццяна;F
Владислава;Уладзіслава;F
Устинья;Усціння;F
Фаина;Фаіна;F
Фёкла;Фёкла;F
Федора;Фядора;F
Федосья;Фядосся;F
Христина;Хрысціна;F
Чеслава;Часлава;F
Эллина;Эліна;F
Эльвира;Эльвіра;F
Эмма;Эма;F
Эмилия;Эмілія;F
Юлия;Юлія;F
Яна;Яна;F
Ярослава;Яраслава;F
Евгения;Яўгенія;F
Евхимия;Яўхімія;F
